what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340245961425
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340245961425
java.vm.specification.version,sysinfo,,,"1.0",1340245961425
java.vm.vendor,sysinfo,,,"Apple Inc.",1340245961425
java.vm.version,sysinfo,,,"20.8-b03-424",1340245961425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245964040
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1340245966614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245969006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245972715
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1340245979029
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1340245979065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245980628
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1340245982439
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1340245982516
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1340245982551
error,log,,,"Could not move: /Users/Laura/github/local/ASD-Week-One/xmas/xmasapp/app/xmas2/app/views/recent-items.",1340245982740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245982992
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340245983020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245984610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245987505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1340245991428
started,bundle,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch",1340245998735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340245998751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246005590
executed,command,com.pittypanda.plugins.couch,1.0.0.201010261838,"com.pittypanda.plugins.couch.commands.push",1340246008868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246008876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246021169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246022960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246030675
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340246032343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246040286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246043136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340246044460
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1340246048123
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1340246049131
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1340246049149
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1340246049187
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1340246049196
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1340246049204
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1340246049218
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1340246049223
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1340246049230
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1340246049235
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1340246049237
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1340246049238
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1340246049272
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1340246049273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246050150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340246051538
